mythicLevel,score,parTimeMs,clearTimeMs,percentRemaining,bonus
5,65.0,2160999,1251977,0.4206489683706471,5.0
6,70.0,1800999,981478,0.4550368989655186,5.0
2,42.5,2220999,1782205,0.1975660502323504,2.5
5,64.5,2340999,1494289,0.3616874676153215,4.5
2,41.4,2460999,2194463,0.1083039854953212,1.3999999999999986
9,85.0,2580999,2579408,6.164279800185897E-4,0.0
7,75.8,2220999,2075689,0.06542551347389171,0.7999999999999972
6,69.3,2340999,1529738,0.34654478707594494,4.299999999999997
6,69.1,1800999,1216623,0.32447325067920635,4.099999999999994
5,63.3,2460999,1811145,0.26406105813127106,3.299999999999997
4,59.9,1920999,1169632,0.3911334675343402,4.899999999999999
3,50.0,2280999,1224994,0.4629572393499515,5.0
2,45.0,2160999,1023532,0.5263616503293153,5.0
8,81.7,2580999,2223842,0.1383793639594591,1.7000000000000028
4,58.4,2220999,1622215,0.2696012019816308,3.3999999999999986
4,58.3,2460999,1808651,0.26507446772631765,3.299999999999997
3,48.7,2340999,1648525,0.29580277479828054,3.700000000000003
6,69.3,2340999,1529738,0.34654478707594494,4.299999999999997
6,69.1,1800999,1216623,0.32447325067920635,4.099999999999994
4,60.0,2280999,1350914,0.40775335719130085,5.0
4,57.2,2160999,1783291,0.17478397722534808,2.200000000000003
5,51.5,2580999,3307965,-0.2816607057964765,-8.5
2,45.0,1920999,1066217,0.44496743621417817,5.0
2,45.0,2220999,1019510,0.5409678257396784,5.0
2,45.0,2460999,1148766,0.5332115128856209,5.0
6,65.4,2340999,2268423,0.031002149082507084,0.4000000000000057
3,48.0,2280999,1728193,0.24235258323217151,3.0
2,41.8,2580999,2205665,0.14542198582796817,1.7999999999999972
2,34.5,2220999,2308489,-0.0393921834273676,-5.5
15,126.9,2580999,2178646,0.15589041297575087,1.9000000000000057
14,121.5,2280999,2005494,0.12078260446409665,1.5
14,120.2,2460999,2414133,0.019043485998978465,0.20000000000000284
14,120.0,2220999,2215321,0.0025565072294044255,0.0
15,119.9,2160999,2185490,-0.011333184328174145,-5.099999999999994
13,116.5,1800999,1578660,0.12345315016832324,1.5
15,116.1,2340999,3077187,-0.3144759993489959,-8.900000000000006
14,112.8,1920999,2251613,-0.17210524315733636,-7.200000000000003
12,110.2,2580999,2542775,0.01480976939549376,0.20000000000000284
12,104.4,2460999,2583136,-0.049629032762711404,-5.599999999999994
9,88.9,1800999,1240115,0.31142937891692335,3.9000000000000057
9,88.8,2340999,1634767,0.30167975296016786,3.799999999999997
6,66.1,2160999,1977458,0.08493340348607288,1.0999999999999943
14,0.0,2220999,3233283,-0.4557786833762645,-120.0
2,43.0,2280999,1730587,0.24130304309646783,3.0
2,41.4,2460999,2194463,0.1083039854953212,1.3999999999999986
15,128.0,1800999,1365648,0.24172750789978228,3.0
15,125.3,1920999,1870465,0.026306104271787752,0.29999999999999716
16,124.9,2280999,2292111,-0.0048715497025645345,-5.099999999999994
14,120.3,2460999,2403114,0.02352093601013247,0.29999999999999716
14,120.2,2340999,2307534,0.014295179109431486,0.20000000000000284
15,118.8,2580999,2837024,-0.09919608647659298,-6.200000000000003
13,116.2,2160999,1948226,0.09846048054626587,1.2000000000000028
14,114.6,2220999,2298274,-0.03479290175276981,-5.400000000000006
12,111.9,2280999,1937609,0.15054368721774977,1.9000000000000057
13,109.3,2340999,2471580,-0.05578003237079555,-5.700000000000003
11,105.4,2580999,2503935,0.029858206066720676,0.4000000000000057
11,99.3,2220999,2344822,-0.055751038158954595,-5.700000000000003
11,99.2,1920999,2045802,-0.06496775896291461,-5.799999999999997
8,74.3,1800999,1905060,-0.057779598989227646,-5.700000000000003
4,58.2,2460999,1839226,0.25265065121928126,3.200000000000003
10,0.0,2160999,3064553,-0.4181186571581014,-100.0
14,121.5,2340999,2052659,0.12316963826127222,1.5
13,116.4,1920999,1701187,0.11442587945126469,1.4000000000000057
13,115.3,2220999,2172983,0.021619100233723654,0.29999999999999716
14,114.6,1800999,1862952,-0.03439924175415977,-5.400000000000006
12,112.7,2280999,1792369,0.21421754240137764,2.700000000000003
12,111.0,2160999,1996510,0.07611711065113866,1.0
13,109.5,2460999,2562546,-0.041262511687326975,-5.5
13,109.4,2580999,2712904,-0.0511061802038668,-5.599999999999994
13,115.2,2220999,2186042,0.015739313705229043,0.20000000000000284
12,112.5,2340999,1874540,0.1992563858421127,2.5
12,111.6,1800999,1574666,0.12567080825697294,1.5999999999999943
13,109.2,2460999,2610982,-0.06094394999754165,-5.799999999999997
11,107.3,1920999,1566396,0.18459301644613038,2.299999999999997
11,106.3,2580999,2311211,0.10452851783359854,1.2999999999999972
9,85.1,2160999,2144612,0.00758306690563022,0.09999999999999432
7,68.1,2280999,2627709,-0.15199918982866717,-6.900000000000006
12,111.0,2580999,2381909,0.0771367985807046,1.0
11,105.6,2460999,2347132,0.046268608804798377,0.5999999999999943
10,103.9,2280999,1566114,0.31340873012219644,3.9000000000000057
10,102.8,2160999,1677626,0.22368034413713286,2.799999999999997
10,100.2,1920999,1892357,0.01490995049971395,0.20000000000000284
11,99.3,2340999,2475517,-0.05746179302084281,-5.700000000000003
7,78.6,1800999,1278974,0.2898530204625322,3.5999999999999943
2,43.0,2220999,1686308,0.2407434672415431,3.0
10,103.4,2460999,1795462,0.27043367347975356,3.4000000000000057
12,103.0,2280999,2650421,-0.16195623058142508,-7.0
7,80.0,1920999,1142297,0.4053630428750874,5.0
7,80.0,2160999,1270791,0.4119428097838083,5.0
8,73.5,2580999,2888840,-0.11927203381326378,-6.5
5,64.5,2340999,1494289,0.3616874676153215,4.5
17,135.2,1920999,1889453,0.01642166393631647,0.19999999999998863
16,131.5,2160999,1900422,0.12058173094943589,1.5
16,131.0,2460999,2267257,0.07872494056275521,1.0
15,127.5,1800999,1434561,0.2034637442885865,2.5
15,127.2,2340999,1930199,0.17548063882128953,2.200000000000003
15,126.9,2580999,2180512,0.15516743710477998,1.9000000000000057
15,126.3,2280999,2038123,0.10647790726782431,1.2999999999999972
15,117.9,2220999,2593743,-0.16782718047149053,-7.099999999999994
15,127.3,2160999,1761958,0.18465580039602053,2.299999999999997
15,126.1,2460999,2244177,0.08810324587697922,1.0999999999999943
15,125.8,1800999,1687365,0.06309498228483192,0.7999999999999972
15,125.8,2280999,2139240,0.062147769464168987,0.7999999999999972
16,123.9,2340999,2541416,-0.08561174097041477,-6.099999999999994
15,118.4,2580999,2916166,-0.12985940715203687,-6.599999999999994
13,115.5,2220999,2132598,0.03980235920862639,0.5
11,99.4,1920999,2012305,-0.0475304776316906,-5.599999999999994
19,145.8,2460999,2312954,0.060156464915264087,0.8000000000000114
19,145.7,2280999,2145126,0.05956732116059674,0.6999999999999886
19,145.6,2580999,2453169,0.04952733418339178,0.5999999999999943
19,145.4,1800999,1740392,0.03365187876284218,0.4000000000000057
19,145.0,2340999,2336553,0.0018991891923063615,0.0
20,143.7,2160999,2378403,-0.1006034708947112,-6.300000000000011
18,141.6,2220999,1944076,0.12468398229805597,1.5999999999999943
18,141.1,1920999,1751297,0.08834049367022055,1.0999999999999943
18,141.6,2280999,1990882,0.12718856956973676,1.5999999999999943
18,140.6,1800999,1712485,0.04914716776633413,0.5999999999999943
18,140.6,2160999,2060517,0.046497939147588686,0.5999999999999943
18,140.0,2580999,2579618,5.350641360186501E-4,0.0
17,136.2,2460999,2229969,0.09387651112414105,1.1999999999999886
17,136.2,2220999,2013480,0.09343498128544858,1.1999999999999886
17,135.7,1920999,1806639,0.059531525003396674,0.6999999999999886
18,134.9,2340999,2357941,-0.007237081263170125,-5.099999999999994
11,107.2,2220999,1836878,0.17294965013491675,2.200000000000003
11,105.6,2160999,2061787,0.04591024799178528,0.5999999999999943
8,82.3,1920999,1572617,0.1813545972694416,2.299999999999997
7,78.7,2460999,1732979,0.29582295644979945,3.700000000000003
10,103.4,2220999,1619401,0.27086819940035994,3.4000000000000057
8,72.2,2460999,3005173,-0.22111914714309108,-7.799999999999997
16,130.8,1920999,1794070,0.06607447479150172,0.8000000000000114
16,130.8,2460999,2310623,0.06110364124487657,0.8000000000000114
16,130.7,1800999,1706246,0.05261135625283523,0.6999999999999886
16,130.6,2340999,2227697,0.048398995471591405,0.5999999999999943
16,130.5,2580999,2477987,0.03991167761010368,0.5
15,128.1,2280999,1718067,0.2467918661954696,3.0999999999999943
17,127.1,2220999,2732541,-0.23032068001831607,-7.900000000000006
15,127.0,2160999,1819534,0.15801256733575536,2.0
15,127.7,2460999,1938870,0.21216140274742087,2.700000000000003
15,126.3,2280999,2040424,0.10546913874140235,1.2999999999999972
15,126.2,2160999,1948722,0.09823095707124344,1.2000000000000028
15,125.3,2340999,2281818,0.025280232926199457,0.29999999999999716
14,122.2,2220999,1827831,0.17702304233365257,2.200000000000003
14,121.7,1800999,1562104,0.13264582601100833,1.7000000000000028
16,121.2,2580999,3375218,-0.3077176705608952,-8.799999999999997
14,112.4,1920999,2326170,-0.21091681984217586,-7.599999999999994
2,34.5,2220999,2308489,-0.0393921834273676,-5.5
2,34.2,1800999,1915705,-0.06369020749039839,-5.799999999999997
16,130.2,2280999,2243879,0.016273571360618747,0.19999999999998863
16,130.2,2160999,2128198,0.015178628032683033,0.19999999999998863
16,124.7,2220999,2276360,-0.02492617061061261,-5.299999999999997
14,121.1,2340999,2143395,0.08441011721918719,1.0999999999999943
13,108.4,1800999,2037519,-0.13132711345203413,-6.599999999999994
11,106.9,1920999,1624858,0.1541598928474195,1.9000000000000057
12,104.4,2580999,2695110,-0.044211950488938584,-5.599999999999994
10,104.4,2460999,1604398,0.3480704380619415,4.400000000000006
13,117.0,2280999,1915013,0.16044987306000572,2.0
12,113.6,2340999,1675001,0.284493073256332,3.5999999999999943
12,111.7,2160999,1860658,0.13898247986232293,1.7000000000000028
11,108.0,1800999,1366173,0.24143600301832482,3.0
10,103.6,2220999,1575421,0.2906700993561906,3.5999999999999943
12,104.4,2580999,2707619,-0.04905852346320165,-5.599999999999994
8,83.4,2340999,1695622,0.27568444070245224,3.4000000000000057
7,75.9,1800999,1667285,0.07424434994133812,0.9000000000000057
5,63.0,1920999,1464775,0.23749309604013327,3.0
4,56.9,2280999,1936911,0.15084969348956312,1.8999999999999986
4,50.0,2460999,2464952,-0.001606258271539322,-5.0
8,72.6,1800999,2139718,-0.18807284179502598,-7.400000000000006
7,67.8,2340999,2749972,-0.17470020277667783,-7.200000000000003
11,106.9,2460999,2089832,0.15081964681822302,1.9000000000000057
5,63.9,2460999,1692372,0.31232316632391965,3.8999999999999986
7,79.0,2160999,1465674,0.3217609078023636,4.0
4,58.4,1800999,1306633,0.27449543281256683,3.3999999999999986
4,56.8,2340999,2002214,0.14471813102013287,1.7999999999999972
2,45.0,2280999,1301425,0.42944955258638867,5.0
2,42.4,1920999,1547426,0.1944680866569946,2.3999999999999986
12,112.8,2280999,1772635,0.22286901484831864,2.799999999999997
13,110.0,2340999,2342541,-6.58693147669008E-4,-5.0
13,109.5,2460999,2562546,-0.041262511687326975,-5.5
11,105.9,2580999,2391539,0.07340568516299309,0.9000000000000057
11,99.1,1800999,1931623,-0.0725286354961885,-5.900000000000006
10,94.8,2220999,2261232,-0.018114821303386448,-5.200000000000003
16,131.9,1920999,1629830,0.15157165620596366,1.9000000000000057
16,131.8,2460999,2110654,0.14235885508283425,1.8000000000000114
16,131.5,2580999,2279581,0.1167834625274942,1.5
15,128.4,2160999,1573211,0.2719982748719458,3.4000000000000057
15,126.5,2280999,2010423,0.11862170917216536,1.5
17,126.2,2220999,2901665,-0.30646839552831856,-8.799999999999997
15,125.8,2340999,2189104,0.06488469238987286,0.7999999999999972
14,120.9,1800999,1665123,0.07544479480554958,0.9000000000000057
15,126.3,1920999,1721447,0.10387928364356254,1.2999999999999972
15,125.9,2580999,2401159,0.06967844621404348,0.9000000000000057
15,125.8,2220999,2075855,0.0653507723326305,0.7999999999999972
16,124.5,2280999,2374442,-0.040965822431311895,-5.5
14,122.4,2460999,1997406,0.18837594001460384,2.4000000000000057
16,122.0,2160999,2671589,-0.23627498208004724,-8.0
14,120.9,2340999,2177371,0.06989665523137771,0.9000000000000057
15,119.6,1800999,1856969,-0.031077196600331262,-5.400000000000006
16,131.9,2280999,1931160,0.15337095719901675,1.9000000000000057
16,131.1,2580999,2343766,0.09191518477922696,1.0999999999999943
17,129.7,2340999,2391170,-0.021431448710571854,-5.300000000000011
15,127.7,2460999,1924588,0.21796473708441166,2.700000000000003
15,127.3,2160999,1756181,0.18732910103151368,2.299999999999997
15,127.2,1920999,1587103,0.17381372921068672,2.200000000000003
15,126.3,2220999,1990036,0.10399059162115787,1.2999999999999972
15,126.2,1800999,1628348,0.09586401769240294,1.2000000000000028
15,129.0,2340999,1583279,0.3236737820050329,4.0
15,128.3,2280999,1677814,0.2644389585440414,3.3000000000000114
15,125.7,2220999,2090798,0.05862271887560508,0.7000000000000028
16,123.8,1920999,2105272,-0.09592560953961975,-6.200000000000003
16,122.9,2160999,2524666,-0.16828651933665864,-7.099999999999994
14,122.7,2460999,1924039,0.21818781722381847,2.700000000000003
16,120.4,1800999,2466396,-0.369459949727901,-9.599999999999994
13,116.3,2580999,2306325,0.1064215832706638,1.2999999999999972
3,50.0,2160999,990906,0.5414592972972223,5.0
4,49.9,2280999,2294488,-0.005913636963453294,-5.100000000000001
11,105.6,2460999,2347132,0.046268608804798377,0.5999999999999943
12,103.0,2280999,2650421,-0.16195623058142508,-7.0
10,102.8,2160999,1677626,0.22368034413713286,2.799999999999997
10,101.4,1920999,1713005,0.10827387208426449,1.4000000000000057
11,99.3,2340999,2475517,-0.05746179302084281,-5.700000000000003
7,78.6,1800999,1278974,0.2898530204625322,3.5999999999999943
8,73.5,2580999,2888840,-0.11927203381326378,-6.5
10,103.4,2460999,1795462,0.27043367347975356,3.4000000000000057
7,80.0,2160999,1270791,0.4119428097838083,5.0
5,65.0,2280999,1254131,0.4501834503215477,5.0
5,64.5,2340999,1494289,0.3616874676153215,4.5
3,49.3,1920999,1265541,0.3412068408156381,4.299999999999997
2,45.0,2580999,1407290,0.4547498856063098,5.0
17,136.3,2160999,1944187,0.10032952352129733,1.3000000000000114
16,131.8,2460999,2110654,0.14235885508283425,1.8000000000000114
16,130.9,2580999,2395558,0.07184853616758473,0.9000000000000057
15,128.2,1920999,1435494,0.2527356859633972,3.1999999999999886
15,127.5,2220999,1785328,0.19615992623139408,2.5
15,127.1,2340999,1950916,0.16663099813370275,2.0999999999999943
15,126.7,1800999,1552873,0.13777131469812032,1.7000000000000028
15,126.3,2280999,2038123,0.10647790726782431,1.2999999999999972
15,126.1,2460999,2244177,0.08810324587697922,1.0999999999999943
15,126.0,2340999,2161367,0.0767330528547855,1.0
16,124.5,2280999,2374442,-0.040965822431311895,-5.5
14,123.0,2220999,1689819,0.2391626470790847,3.0
14,122.5,2160999,1723446,0.2024771876340526,2.5
16,121.7,1920999,2431185,-0.2655836884870841,-8.299999999999997
15,118.4,2580999,2916166,-0.12985940715203687,-6.599999999999994
14,114.6,1800999,1862952,-0.03439924175415977,-5.400000000000006
10,94.7,1920999,1973301,-0.027226458733190385,-5.299999999999997
9,87.2,2460999,2031130,0.17467256183362936,2.200000000000003
7,78.6,1800999,1286440,0.2857075434245105,3.5999999999999943
6,69.3,2340999,1529738,0.34654478707594494,4.299999999999997
5,64.0,2280999,1544986,0.32267133830396244,4.0
6,69.1,1800999,1216623,0.32447325067920635,4.099999999999994
6,65.4,2340999,2268423,0.031002149082507084,0.4000000000000057
6,56.8,1800999,2259252,-0.2544437837000465,-8.200000000000003
2,42.4,2340999,1883219,0.19554899425416244,2.3999999999999986
4,60.0,2280999,1350914,0.40775335719130085,5.0
4,59.5,1800999,1146630,0.36333668147511466,4.5
4,58.4,2580999,1888656,0.2682461326021436,3.3999999999999986
2,45.0,2340999,1395109,0.4040539957513865,5.0
15,129.8,2280999,1401583,0.3855398446031761,4.800000000000011
15,129.6,2220999,1411051,0.36467733663995344,4.599999999999994
15,128.4,2340999,1699397,0.27407188127803556,3.4000000000000057
15,126.7,1920999,1654398,0.13878247724230985,1.7000000000000028
15,126.4,2160999,1926434,0.10854470548112238,1.4000000000000057
15,125.6,2460999,2340305,0.04904268551104653,0.5999999999999943
14,124.1,2580999,1724134,0.3319896675667058,4.099999999999994
14,123.5,1800999,1296612,0.2800595669403481,3.5
16,123.9,2580999,2800890,-0.08519608105233671,-6.099999999999994
16,123.6,2460999,2739931,-0.11334096438072506,-6.400000000000006
14,122.0,1920999,1619225,0.15709222128694497,2.0
14,121.5,2340999,2055667,0.12188471673845226,1.5
14,120.7,2160999,2045676,0.053365596189540114,0.7000000000000028
13,119.0,2220999,1514063,0.3182964062568241,4.0
15,117.6,1800999,2143250,-0.19003397558799312,-7.400000000000006
12,111.1,2280999,2083116,0.08675277805908727,1.0999999999999943
17,135.7,2220999,2103589,0.05286359876794181,0.6999999999999886
17,135.3,2340999,2281014,0.025623676045995747,0.30000000000001137
16,131.0,2460999,2267257,0.07872494056275521,1.0
15,127.4,1800999,1461798,0.1883404710385736,2.4000000000000057
15,127.3,2160999,1761958,0.18465580039602053,2.299999999999997
15,126.3,2280999,2038123,0.10647790726782431,1.2999999999999972
15,125.2,2580999,2541364,0.015356456937798116,0.20000000000000284
15,117.0,1920999,2377663,-0.23772214353052762,-8.0
15,127.3,2160999,1763690,0.18385431922920834,2.299999999999997
15,127.2,2340999,1930199,0.17548063882128953,2.200000000000003
15,126.3,2220999,1987608,0.10508379337406275,1.2999999999999972
16,122.8,2580999,3028535,-0.17339642518265214,-7.200000000000003
14,120.4,2280999,2213219,0.029715050291560848,0.4000000000000057
15,118.7,1800999,1992515,-0.10633875976610759,-6.299999999999997
14,112.5,1920999,2312586,-0.20384549913872937,-7.5
10,101.2,2460999,2215283,0.09984400643803594,1.2000000000000028
8,83.2,2280999,1689120,0.25948235838770645,3.200000000000003
7,78.3,2160999,1591928,0.26333700293244006,3.299999999999997
7,76.1,2580999,2363810,0.08414919959287082,1.0999999999999943
7,75.6,2220999,2115152,0.047657383006475915,0.5999999999999943
6,68.9,1800999,1242128,0.3103116659143064,3.9000000000000057
7,68.7,1920999,2122933,-0.10511926346656089,-6.299999999999997
6,68.0,2460999,1875493,0.23791395282972483,3.0
6,65.6,2340999,2228525,0.04804530031836835,0.5999999999999943
6,69.6,2580999,1635141,0.3664697274194992,4.599999999999994
6,67.4,1920999,1544992,0.19573513572885776,2.4000000000000057
5,63.1,1800999,1347737,0.25167254396032424,3.1000000000000014
2,45.0,2220999,1042798,0.5304824540668411,5.0
2,43.5,2340999,1693213,0.27671348855766276,3.5
2,45.0,2160999,818641,0.6211747437180675,5.0
17,136.3,2160999,1944187,0.10032952352129733,1.3000000000000114
17,136.1,2460999,2250978,0.08533973398607639,1.0999999999999943
16,133.2,2340999,1736553,0.25820002486118104,3.1999999999999886
16,131.4,1800999,1604778,0.10895119875135967,1.4000000000000057
15,128.2,1920999,1435494,0.2527356859633972,3.1999999999999886
15,127.4,2220999,1793344,0.19255073955458782,2.4000000000000057
15,125.6,2580999,2463941,0.04535375643307107,0.5999999999999943
14,114.7,2280999,2330110,-0.02153047853155569,-5.299999999999997
16,132.8,2460999,1912109,0.22303544211111015,2.8000000000000114
15,126.7,2160999,1874445,0.13260256020479416,1.7000000000000028
15,126.3,2220999,1993215,0.10255925374122185,1.2999999999999972
15,125.8,2340999,2189104,0.06488469238987286,0.7999999999999972
16,123.8,1920999,2105272,-0.09592560953961975,-6.200000000000003
15,118.4,2580999,2916166,-0.12985940715203687,-6.599999999999994
13,116.2,1800999,1633253,0.0931405292285004,1.2000000000000028
12,111.1,2280999,2083116,0.08675277805908727,1.0999999999999943
18,141.0,1920999,1762319,0.0826028540358428,1.0
18,140.5,2340999,2245351,0.040857770550094215,0.5
18,140.2,2220999,2184841,0.01628006135977549,0.19999999999998863
17,137.2,2160999,1775406,0.17843275262968655,2.1999999999999886
17,137.1,2460999,2049346,0.16727068966708236,2.0999999999999943
17,136.5,2280999,2011130,0.11831175726074408,1.5
17,136.3,2580999,2305407,0.1067772595030064,1.3000000000000114
17,136.3,1800999,1620882,0.10000949473042461,1.3000000000000114
17,137.4,2340999,1894227,0.19084672825575746,2.4000000000000057
17,137.1,2160999,1806053,0.1642508858171614,2.0999999999999943
